;Cube1;Hammer;LightSourceCandles;CameraHolder;Player
Cube1;0;0.071428575;0.21428572;0.64285713;0.21428572
Hammer;0.071428575;0;0.14285715;0.71428573;0.14285715
LightSourceCandles;0.21428572;0.14285715;0;0.71428573;0.14285715
CameraHolder;0.64285713;0.71428573;0.71428573;0;0.5714286
Player;0.21428572;0.14285715;0.14285715;0.5714286;0
