;Q72^Q75^Q80;Q46^Q57^Q53^Q54^Q59^Q62^Q66^Q56^Q64^Q70^Q67^Q68;
Q72^Q75^Q80;0;0,9171307;
Q46^Q57^Q53^Q54^Q59^Q62^Q66^Q56^Q64^Q70^Q67^Q68;0,9171307;0;
